Week;Book;Channel;Gross;Returns;Units
2026-W31;Тихий сад;WB;2443;439.74;7
2026-W31;Северный экспресс;Litres;3592;646.56;8
2026-W31;Дом у маяка;Ozon;2691;484.38;9
2026-W31;Игры разума;WB;1620;291.6;3
2026-W31;Шёпот времени;Litres;1560;280.8;4
2026-W31;Тихий сад;Ozon;1745;314.1;5
2026-W31;Северный экспресс;WB;2694;484.92;6
2026-W31;Дом у маяка;Litres;2093;376.74;7
2026-W31;Игры разума;Ozon;4320;777.6;8
2026-W31;Шёпот времени;WB;3510;631.8;9
2026-W31;Тихий сад;Litres;1047;188.46;3
2026-W31;Северный экспресс;Ozon;1796;323.28;4
2026-W31;Дом у маяка;WB;1495;269.1;5
2026-W31;Игры разума;Litres;3240;583.2;6
2026-W31;Шёпот времени;Ozon;2730;491.4;7
2026-W31;Тихий сад;WB;2792;502.56;8
2026-W31;Северный экспресс;Litres;4041;727.38;9
2026-W31;Дом у маяка;Ozon;897;161.46;3
2026-W31;Игры разума;WB;2160;388.8;4
2026-W31;Шёпот времени;Litres;1950;351;5
2026-W31;Тихий сад;Ozon;2094;376.92;6
2026-W31;Северный экспресс;WB;3143;565.74;7
2026-W31;Дом у маяка;Litres;2392;430.56;8
2026-W31;Игры разума;Ozon;4860;874.8;9
2026-W31;Шёпот времени;WB;1170;210.6;3
2026-W31;Тихий сад;Litres;1396;251.28;4
2026-W31;Северный экспресс;Ozon;2245;404.1;5
2026-W31;Дом у маяка;WB;1794;322.92;6
2026-W31;Игры разума;Litres;3780;680.4;7
2026-W31;Шёпот времени;Ozon;3120;561.6;8
2026-W31;Тихий сад;WB;3141;565.38;9
2026-W31;Северный экспресс;Litres;1347;242.46;3
2026-W31;Дом у маяка;Ozon;1196;215.28;4
2026-W31;Игры разума;WB;2700;486;5
2026-W31;Шёпот времени;Litres;2340;421.2;6
2026-W31;Тихий сад;Ozon;2443;439.74;7
2026-W31;Северный экспресс;WB;3592;646.56;8
2026-W31;Дом у маяка;Litres;2691;484.38;9
2026-W31;Игры разума;Ozon;1620;291.6;3
2026-W31;Шёпот времени;WB;1560;280.8;4
2026-W31;Тихий сад;Litres;1745;314.1;5
2026-W31;Северный экспресс;Ozon;2694;484.92;6
2026-W31;Дом у маяка;WB;2093;376.74;7
2026-W31;Игры разума;Litres;4320;777.6;8
2026-W31;Шёпот времени;Ozon;3510;631.8;9
2026-W31;Тихий сад;WB;1047;188.46;3
2026-W31;Северный экспресс;Litres;1796;323.28;4
2026-W31;Дом у маяка;Ozon;1495;269.1;5
2026-W31;Игры разума;WB;3240;583.2;6
2026-W31;Шёпот времени;Litres;2730;491.4;7
2026-W31;Тихий сад;Ozon;2792;502.56;8
2026-W31;Северный экспресс;WB;4041;727.38;9
2026-W31;Дом у маяка;Litres;897;161.46;3
2026-W31;Игры разума;Ozon;2160;388.8;4
2026-W31;Шёпот времени;WB;1950;351;5
2026-W31;Тихий сад;Litres;2094;376.92;6
2026-W31;Северный экспресс;Ozon;3143;565.74;7
2026-W31;Дом у маяка;WB;2392;430.56;8
2026-W31;Игры разума;Litres;4860;874.8;9
2026-W31;Шёпот времени;Ozon;1170;210.6;3
2026-W31;Тихий сад;WB;1396;251.28;4
2026-W31;Северный экспресс;Litres;2245;404.1;5
2026-W31;Дом у маяка;Ozon;1794;322.92;6
2026-W31;Игры разума;WB;3780;680.4;7
2026-W31;Шёпот времени;Litres;3120;561.6;8
2026-W31;Тихий сад;Ozon;3141;565.38;9
2026-W31;Северный экспресс;WB;1347;242.46;3
2026-W31;Дом у маяка;Litres;1196;215.28;4
2026-W31;Игры разума;Ozon;2700;486;5
2026-W31;Шёпот времени;WB;2340;421.2;6
2026-W31;Тихий сад;Litres;2443;439.74;7
2026-W31;Северный экспресс;Ozon;3592;646.56;8
2026-W31;Дом у маяка;WB;2691;484.38;9
2026-W31;Игры разума;Litres;1620;291.6;3
2026-W31;Шёпот времени;Ozon;1560;280.8;4
2026-W31;Тихий сад;WB;1745;314.1;5
2026-W31;Северный экспресс;Litres;2694;484.92;6
2026-W31;Дом у маяка;Ozon;2093;376.74;7
2026-W31;Игры разума;WB;4320;777.6;8
2026-W31;Шёпот времени;Litres;3510;631.8;9
2026-W31;Тихий сад;Ozon;1047;188.46;3
2026-W31;Северный экспресс;WB;1796;323.28;4
2026-W31;Дом у маяка;Litres;1495;269.1;5
2026-W31;Игры разума;Ozon;3240;583.2;6
2026-W31;Шёпот времени;WB;2730;491.4;7
2026-W31;Тихий сад;Litres;2792;502.56;8
2026-W31;Северный экспресс;Ozon;4041;727.38;9
2026-W31;Дом у маяка;WB;897;161.46;3
2026-W31;Игры разума;Litres;2160;388.8;4
2026-W31;Шёпот времени;Ozon;1950;351;5
2026-W31;Тихий сад;WB;2094;376.92;6
2026-W31;Северный экспресс;Litres;3143;565.74;7
2026-W31;Дом у маяка;Ozon;2392;430.56;8
2026-W31;Игры разума;WB;4860;874.8;9
2026-W31;Шёпот времени;Litres;1170;210.6;3
2026-W31;Тихий сад;Ozon;1396;251.28;4
2026-W31;Северный экспресс;WB;2245;404.1;5
2026-W31;Дом у маяка;Litres;1794;322.92;6
2026-W31;Игры разума;Ozon;3780;680.4;7
2026-W31;Шёпот времени;WB;3120;561.6;8
2026-W31;Тихий сад;Litres;3141;565.38;9
2026-W31;Северный экспресс;Ozon;1347;242.46;3
2026-W31;Дом у маяка;WB;1196;215.28;4
2026-W31;Игры разума;Litres;2700;486;5
2026-W31;Шёпот времени;Ozon;2340;421.2;6
2026-W31;Тихий сад;WB;2443;439.74;7
2026-W31;Северный экспресс;Litres;3592;646.56;8
2026-W31;Дом у маяка;Ozon;2691;484.38;9
2026-W31;Игры разума;WB;1620;291.6;3
2026-W31;Шёпот времени;Litres;1560;280.8;4
2026-W31;Тихий сад;Ozon;1745;314.1;5
2026-W31;Северный экспресс;WB;2694;484.92;6
2026-W31;Дом у маяка;Litres;2093;376.74;7
2026-W31;Игры разума;Ozon;4320;777.6;8
2026-W31;Шёпот времени;WB;3510;631.8;9
2026-W31;Тихий сад;Litres;1047;188.46;3
2026-W31;Северный экспресс;Ozon;1796;323.28;4
2026-W31;Дом у маяка;WB;1495;269.1;5
2026-W31;Игры разума;Litres;3240;583.2;6
2026-W31;Шёпот времени;Ozon;2730;491.4;7
2026-W31;Тихий сад;WB;2792;502.56;8
2026-W31;Северный экспресс;Litres;4041;727.38;9
2026-W31;Дом у маяка;Ozon;897;161.46;3
2026-W31;Игры разума;WB;2160;388.8;4
2026-W31;Шёпот времени;Litres;1950;351;5
2026-W31;Тихий сад;Ozon;2094;376.92;6
2026-W31;Северный экспресс;WB;3143;565.74;7
2026-W31;Дом у маяка;Litres;2392;430.56;8
2026-W31;Игры разума;Ozon;4860;874.8;9
2026-W31;Шёпот времени;WB;1170;210.6;3
2026-W31;Тихий сад;Litres;1396;251.28;4
2026-W31;Северный экспресс;Ozon;2245;404.1;5
2026-W31;Дом у маяка;WB;1794;322.92;6
2026-W31;Игры разума;Litres;3780;680.4;7
2026-W31;Шёпот времени;Ozon;3120;561.6;8
2026-W31;Тихий сад;WB;3141;565.38;9
2026-W31;Северный экспресс;Litres;1347;242.46;3
2026-W31;Дом у маяка;Ozon;1196;215.28;4
2026-W31;Игры разума;WB;2700;486;5
2026-W31;Шёпот времени;Litres;2340;421.2;6
2026-W31;Тихий сад;Ozon;2443;439.74;7
2026-W31;Северный экспресс;WB;3592;646.56;8
2026-W31;Дом у маяка;Litres;2691;484.38;9
2026-W31;Игры разума;Ozon;1620;291.6;3
2026-W31;Шёпот времени;WB;1560;280.8;4
2026-W31;Тихий сад;Litres;1745;314.1;5
2026-W31;Северный экспресс;Ozon;2694;484.92;6
2026-W31;Дом у маяка;WB;2093;376.74;7
2026-W31;Игры разума;Litres;4320;777.6;8
2026-W31;Шёпот времени;Ozon;3510;631.8;9
2026-W31;Тихий сад;WB;1047;188.46;3
2026-W31;Северный экспресс;Litres;1796;323.28;4
2026-W31;Дом у маяка;Ozon;1495;269.1;5
2026-W31;Игры разума;WB;3240;583.2;6
2026-W31;Шёпот времени;Litres;2730;491.4;7
2026-W31;Тихий сад;Ozon;2792;502.56;8
2026-W31;Северный экспресс;WB;4041;727.38;9
2026-W31;Дом у маяка;Litres;897;161.46;3
2026-W31;Игры разума;Ozon;2160;388.8;4
2026-W31;Шёпот времени;WB;1950;351;5
2026-W31;Тихий сад;Litres;2094;376.92;6
2026-W31;Северный экспресс;Ozon;3143;565.74;7
2026-W31;Дом у маяка;WB;2392;430.56;8
2026-W31;Игры разума;Litres;4860;874.8;9
2026-W31;Шёпот времени;Ozon;1170;210.6;3
2026-W31;Тихий сад;WB;1396;251.28;4
2026-W31;Северный экспресс;Litres;2245;404.1;5
2026-W31;Дом у маяка;Ozon;1794;322.92;6
2026-W31;Игры разума;WB;3780;680.4;7
2026-W31;Шёпот времени;Litres;3120;561.6;8
2026-W31;Тихий сад;Ozon;3141;565.38;9
2026-W31;Северный экспресс;WB;1347;242.46;3
2026-W31;Дом у маяка;Litres;1196;215.28;4
2026-W31;Игры разума;Ozon;2700;486;5
2026-W31;Шёпот времени;WB;2340;421.2;6
2026-W31;Тихий сад;Litres;2443;439.74;7
2026-W31;Северный экспресс;Ozon;3592;646.56;8
2026-W31;Дом у маяка;WB;2691;484.38;9
2026-W31;Игры разума;Litres;1620;291.6;3
2026-W31;Шёпот времени;Ozon;1560;280.8;4
2026-W31;Тихий сад;WB;1745;314.1;5
2026-W31;Северный экспресс;Litres;2694;484.92;6
2026-W31;Дом у маяка;Ozon;2093;376.74;7
2026-W31;Игры разума;WB;4320;777.6;8
2026-W31;Шёпот времени;Litres;3510;631.8;9
2026-W31;Тихий сад;Ozon;1047;188.46;3
2026-W31;Северный экспресс;WB;1796;323.28;4
2026-W31;Дом у маяка;Litres;1495;269.1;5
2026-W31;Игры разума;Ozon;3240;583.2;6
2026-W31;Шёпот времени;WB;2730;491.4;7
2026-W31;Тихий сад;Litres;2792;502.56;8
2026-W31;Северный экспресс;Ozon;4041;727.38;9
2026-W31;Дом у маяка;WB;897;161.46;3
2026-W31;Игры разума;Litres;2160;388.8;4
2026-W31;Шёпот времени;Ozon;1950;351;5
2026-W31;Тихий сад;WB;2094;376.92;6
2026-W31;Северный экспресс;Litres;3143;565.74;7
2026-W31;Дом у маяка;Ozon;2392;430.56;8
2026-W31;Игры разума;WB;4860;874.8;9
2026-W31;Шёпот времени;Litres;1170;210.6;3
2026-W31;Тихий сад;Ozon;1396;251.28;4
2026-W31;Северный экспресс;WB;2245;404.1;5
2026-W31;Дом у маяка;Litres;1794;322.92;6
2026-W31;Игры разума;Ozon;3780;680.4;7
2026-W31;Шёпот времени;WB;3120;561.6;8
2026-W31;Тихий сад;Litres;3141;565.38;9
2026-W31;Северный экспресс;Ozon;1347;242.46;3
2026-W31;Дом у маяка;WB;1196;215.28;4
2026-W31;Игры разума;Litres;2700;486;5
2026-W31;Шёпот времени;Ozon;2340;421.2;6
2026-W31;Тихий сад;WB;2443;439.74;7
2026-W31;Северный экспресс;Litres;3592;646.56;8
2026-W31;Дом у маяка;Ozon;2691;484.38;9
2026-W31;Игры разума;WB;1620;291.6;3
2026-W31;Шёпот времени;Litres;1560;280.8;4
2026-W31;Тихий сад;Ozon;1745;314.1;5
2026-W31;Северный экспресс;WB;2694;484.92;6
2026-W31;Дом у маяка;Litres;2093;376.74;7
2026-W31;Игры разума;Ozon;4320;777.6;8
2026-W31;Шёпот времени;WB;3510;631.8;9
2026-W31;Тихий сад;Litres;1047;188.46;3
2026-W31;Северный экспресс;Ozon;1796;323.28;4
2026-W31;Дом у маяка;WB;1495;269.1;5
2026-W31;Игры разума;Litres;3240;583.2;6
2026-W31;Шёпот времени;Ozon;2730;491.4;7
2026-W31;Тихий сад;WB;2792;502.56;8
2026-W31;Северный экспресс;Litres;4041;727.38;9
2026-W31;Дом у маяка;Ozon;897;161.46;3
2026-W31;Игры разума;WB;2160;388.8;4
2026-W31;Шёпот времени;Litres;1950;351;5
2026-W31;Тихий сад;Ozon;2094;376.92;6
2026-W31;Северный экспресс;WB;3143;565.74;7
2026-W31;Дом у маяка;Litres;2392;430.56;8
2026-W31;Игры разума;Ozon;4860;874.8;9
2026-W31;Шёпот времени;WB;1170;210.6;3
2026-W31;Тихий сад;Litres;1396;251.28;4
2026-W31;Северный экспресс;Ozon;2245;404.1;5
2026-W31;Дом у маяка;WB;1794;322.92;6
2026-W31;Игры разума;Litres;3780;680.4;7
2026-W31;Шёпот времени;Ozon;3120;561.6;8
2026-W31;Тихий сад;WB;3141;565.38;9
2026-W31;Северный экспресс;Litres;1347;242.46;3
2026-W31;Дом у маяка;Ozon;1196;215.28;4
2026-W31;Игры разума;WB;2700;486;5
2026-W31;Шёпот времени;Litres;2340;421.2;6
2026-W31;Тихий сад;Ozon;2443;439.74;7
2026-W31;Северный экспресс;WB;3592;646.56;8
2026-W31;Дом у маяка;Litres;2691;484.38;9
2026-W31;Игры разума;Ozon;1620;291.6;3
2026-W31;Шёпот времени;WB;1560;280.8;4
2026-W31;Тихий сад;Litres;1745;314.1;5
2026-W31;Северный экспресс;Ozon;2694;484.92;6
2026-W31;Дом у маяка;WB;2093;376.74;7
2026-W31;Игры разума;Litres;4320;777.6;8
2026-W31;Шёпот времени;Ozon;3510;631.8;9
2026-W31;Тихий сад;WB;1047;188.46;3
2026-W31;Северный экспресс;Litres;1796;323.28;4
2026-W31;Дом у маяка;Ozon;1495;269.1;5
2026-W31;Игры разума;WB;3240;583.2;6
2026-W31;Шёпот времени;Litres;2730;491.4;7
2026-W31;Тихий сад;Ozon;2792;502.56;8
2026-W31;Северный экспресс;WB;4041;727.38;9
2026-W31;Дом у маяка;Litres;897;161.46;3
2026-W31;Игры разума;Ozon;2160;388.8;4
2026-W31;Шёпот времени;WB;1950;351;5
2026-W31;Тихий сад;Litres;2094;376.92;6
2026-W31;Северный экспресс;Ozon;3143;565.74;7
2026-W31;Дом у маяка;WB;2392;430.56;8
2026-W31;Игры разума;Litres;4860;874.8;9
2026-W31;Шёпот времени;Ozon;1170;210.6;3
2026-W31;Тихий сад;WB;1396;251.28;4
2026-W31;Северный экспресс;Litres;2245;404.1;5
2026-W31;Дом у маяка;Ozon;1794;322.92;6
2026-W31;Игры разума;WB;3780;680.4;7
2026-W31;Шёпот времени;Litres;3120;561.6;8
2026-W31;Тихий сад;Ozon;3141;565.38;9
2026-W31;Северный экспресс;WB;1347;242.46;3
2026-W31;Дом у маяка;Litres;1196;215.28;4
2026-W31;Игры разума;Ozon;2700;486;5
2026-W31;Шёпот времени;WB;2340;421.2;6
2026-W31;Тихий сад;Litres;2443;439.74;7
2026-W31;Северный экспресс;Ozon;3592;646.56;8
2026-W31;Дом у маяка;WB;2691;484.38;9
2026-W31;Игры разума;Litres;1620;291.6;3
2026-W31;Шёпот времени;Ozon;1560;280.8;4
2026-W31;Тихий сад;WB;1745;314.1;5
2026-W31;Северный экспресс;Litres;2694;484.92;6
2026-W31;Дом у маяка;Ozon;2093;376.74;7
2026-W31;Игры разума;WB;4320;777.6;8
2026-W31;Шёпот времени;Litres;3510;631.8;9
2026-W31;Тихий сад;Ozon;1047;188.46;3
2026-W31;Северный экспресс;WB;1796;323.28;4
2026-W31;Дом у маяка;Litres;1495;269.1;5
2026-W31;Игры разума;Ozon;3240;583.2;6
2026-W31;Шёпот времени;WB;2730;491.4;7
2026-W31;Тихий сад;Litres;2792;502.56;8
2026-W31;Северный экспресс;Ozon;4041;727.38;9
2026-W31;Дом у маяка;WB;897;161.46;3
2026-W31;Игры разума;Litres;2160;388.8;4
2026-W31;Шёпот времени;Ozon;1950;351;5
2026-W31;Тихий сад;WB;2094;376.92;6
2026-W31;Северный экспресс;Litres;3143;565.74;7
2026-W31;Дом у маяка;Ozon;2392;430.56;8
2026-W31;Игры разума;WB;4860;874.8;9
2026-W31;Шёпот времени;Litres;1170;210.6;3
2026-W31;Тихий сад;Ozon;1396;251.28;4
2026-W31;Северный экспресс;WB;2245;404.1;5
2026-W31;Дом у маяка;Litres;1794;322.92;6
2026-W31;Игры разума;Ozon;3780;680.4;7
2026-W31;Шёпот времени;WB;3120;561.6;8
2026-W31;Тихий сад;Litres;3141;565.38;9
2026-W31;Северный экспресс;Ozon;1347;242.46;3
2026-W31;Дом у маяка;WB;1196;215.28;4
2026-W31;Игры разума;Litres;2700;486;5
2026-W31;Шёпот времени;Ozon;2340;421.2;6
2026-W31;Тихий сад;WB;2443;439.74;7
2026-W31;Северный экспресс;Litres;3592;646.56;8
2026-W31;Дом у маяка;Ozon;2691;484.38;9
2026-W31;Игры разума;WB;1620;291.6;3
2026-W31;Шёпот времени;Litres;1560;280.8;4
2026-W31;Тихий сад;Ozon;1745;314.1;5
2026-W31;Северный экспресс;WB;2694;484.92;6
2026-W31;Дом у маяка;Litres;2093;376.74;7
2026-W31;Игры разума;Ozon;4320;777.6;8
2026-W31;Шёпот времени;WB;3510;631.8;9
